병원명,종별코드,종별코드명,시도명,시군구명,읍면동명,우편번호,주소,전화번호,개설일자,경도,위도,수거약품목
희망약국,81,약국,충남,천안서북구,쌍용동,31154,충청남도 천안시 서북구 쌍용대로 8 (쌍용동),041-576-9700,20150420,127.1310484,36.7981661,소화제
한아름약국,81,약국,충남,천안서북구,직산읍,31037,충청남도 천안시 서북구 직산읍 봉주로 51 (직산읍),041-583-0355,20060727,127.152227,36.8775039,"외용제, 항생제"
진주약국,81,약국,충남,천안서북구,쌍용동,31155,충청남도 천안시 서북구 쌍용대로 43 (쌍용동),577-6789,20130722,127.1313323,36.8013293,"신경계, 소화제, 내분비계"
하늘조은약국,81,약국,충남,천안서북구,성정동,31108,충청남도 천안시 서북구 동서대로 119 (성정동),041-579-1001,20180430,127.1365867,36.8262859,건강기능식품
코끼리약국,81,약국,충남,천안서북구,불당동,31163,충청남도 천안시 서북구 불당17길 27 (불당동),041-522-0589,20060228,127.1108675,36.809749,건강기능식품
충무건강약국,81,약국,충남,천안서북구,쌍용동,31181,충청남도 천안시 서북구 새말4길 46 (쌍용동),041-575-4587,20140922,127.1321121,36.7975258,호흡기계
윤약국,81,약국,충남,천안서북구,성성동,31086,충청남도 천안시 서북구 번영로 465 복지동 2층 (성성동),041-599-4999,20130625,127.1188281,36.8417602,해열제
직산열린약국,81,약국,충남,천안서북구,직산읍,31037,충청남도 천안시 서북구 직산읍 삼은3길 3 B동 102호,070-8614-2968,20191023,127.1504935,36.877351,"소화제, 해열제"
코보약국,81,약국,충남,천안서북구,쌍용동,31155,충청남도 천안시 서북구 쌍용대로 79 (쌍용동),041-572-1911,20021125,127.1318899,36.8046835,소화제
성환약국,81,약국,충남,천안서북구,성환읍,31016,충청남도 천안시 서북구 성환읍 성환11길 37 (성환읍),041-585-7588,20080415,127.1320244,36.9166037,안이비인후과용
플러스약국,81,약국,충남,천안서북구,두정동,31103,충청남도 천안시 서북구 봉정로 370 104호 (두정동 태조프라자빌딩),041-523-2688,20100701,127.1458515,36.8350948,신경계
진약국,81,약국,충남,천안서북구,두정동,31099,충청남도 천안시 서북구 늘푸른5길 22 103호 (두정동 골드프라자),041-522-7582,20120102,127.1296515,36.8273293,심혈관계
입장제일약국,81,약국,충남,천안서북구,입장면,31055,충청남도 천안시 서북구 입장면 입장로 141 (입장면),041-584-6757,20030624,127.2219238,36.9138893,"소화제, 진통제, 해열제"
서진약국,81,약국,충남,천안서북구,성정동,31108,충청남도 천안시 서북구 서부대로 688 (성정동),041-568-7447,20031206,127.1335183,36.8284543,"신경계, 진통제, 해열제"
동서당약국,81,약국,충남,천안서북구,성정동,31110,충청남도 천안시 서북구 성정두정로 12 (성정동),041-567-8275,20040206,127.1415119,36.8265708,"진통제, 외용제, 내분비계"
두정약국,81,약국,충남,천안서북구,두정동,31106,충청남도 천안시 서북구 두정로 220 (두정동),041-567-3344,20040331,127.1414138,36.833259,"신경계, 심혈관계, 항생제"
레몬약국,81,약국,충남,천안서북구,두정동,31100,충청남도 천안시 서북구 부성7길 3 (두정동),041-522-0323,20031030,127.133926,36.8370941,"항생제, 해열제"
입장메디칼약국,81,약국,충남,천안서북구,입장면,31055,충청남도 천안시 서북구 입장면 입장로 130 (입장면),041-584-1007,20040430,127.2217748,36.9124348,심혈관계
성환이화약국,81,약국,충남,천안서북구,성환읍,31016,충청남도 천안시 서북구 성환읍 성환1로 242 (성환읍),041-581-6941,20020724,127.12828,36.9162513,"신경계, 해열제, 소염제"
허브약국,81,약국,충남,천안서북구,쌍용동,31175,충청남도 천안시 서북구 충무로 130 104호 (쌍용동 환산빌딩),041-576-6131,20070418,127.1220087,36.7925153,항생제
충무한사랑약국,81,약국,충남,천안서북구,쌍용동,31181,충청남도 천안시 서북구 다가말3길 2 (쌍용동),041-576-7585,20111108,127.1310663,36.7973864,소화제
보룡약국,81,약국,충남,천안서북구,두정동,31103,충청남도 천안시 서북구 봉정로 362 (두정동),567-3801,20021007,127.1457984,36.8343409,심혈관계
선우약국,81,약국,충남,천안서북구,두정동,31100,충청남도 천안시 서북구 서부대로 766 (두정동),041-621-7755,20030222,127.1339331,36.8356224,심혈관계
다나약국,81,약국,충남,천안서북구,직산읍,31037,충청남도 천안시 서북구 직산읍 삼은3길 13 13,041-585-7582,20031110,127.1509814,36.8783065,"진통제, 신경계"
해맑은약국,81,약국,충남,천안서북구,쌍용동,31175,충청남도 천안시 서북구 충무로 174 (쌍용동),041-578-3375,20050905,127.1267499,36.7940774,"심혈관계, 진통제"
오성약국,81,약국,충남,천안서북구,두정동,31090,충청남도 천안시 서북구 오성6길 40 1층 104호 (두정동),,20211012,127.1317172,36.8316908,진통제
